"TOACI1","CR800Series","Table1"
"TMSTAMP","RECNBR","WL","BattV_Min"
"2024-02-29 16:05:00",0,-7999,12.23
"2024-02-29 17:05:00",1,-7999,12.23
"2024-02-29 18:05:00",2,-7999,12.23
"2024-02-29 19:05:00",3,-7999,12.22
"2024-02-29 20:05:00",4,-7999,12.23
"2024-02-29 21:05:00",5,-7999,12.23
"2024-02-29 22:05:00",6,-7999,12.23
"2024-02-29 23:05:00",7,-7999,12.23
"2024-03-01 00:05:00",8,-7999,12.23
"2024-03-02 09:05:00",9,-7999,12.24
"2024-03-02 10:05:00",10,-7999,12.23
"2024-03-02 11:05:00",11,-7999,12.23
"2024-03-02 12:05:00",12,-7999,12.2
"2024-03-02 13:05:00",13,-7999,12.23
"2024-03-02 14:05:00",14,-7999,12.23
"2024-03-02 15:05:00",15,-7999,12.23
"2024-03-02 16:05:00",16,-7999,12.24
"2024-04-15 12:05:00",17,-7999,12.22
"2024-04-15 13:05:00",18,-7999,12.22
"2024-04-15 14:05:00",19,-7999,12.23
"2024-04-15 15:05:00",20,-7999,12.23
"2024-04-15 16:05:00",21,-7999,12.23
"2024-04-15 17:05:00",22,-7999,12.23
"2024-04-15 18:05:00",23,-7999,12.23
"2024-04-15 19:05:00",24,-7999,12.23
"2024-04-15 20:05:00",25,-7999,12.23
"2024-04-15 21:05:00",26,-7999,12.23
"2024-04-15 22:05:00",27,-7999,12.23
"2024-04-15 23:05:00",28,-7999,12.23
"2024-04-16 00:05:00",29,-7999,12.23
"2024-04-16 01:05:00",30,-7999,12.23
"2024-04-16 02:05:00",31,-7999,12.23
"2024-04-18 10:05:00",32,-7999,12.22
"2024-04-18 11:05:00",33,-7999,12.22
"2024-04-18 12:05:00",34,-7999,12.22
"2024-04-18 13:05:00",35,-7999,12.22
"2024-04-18 14:05:00",36,-7999,12.22
"2024-04-18 15:05:00",37,-7999,12.22
"2024-04-18 16:05:00",38,-7999,12.22
"2024-04-18 17:05:00",39,-7999,12.22
"2024-04-18 18:05:00",40,-7999,12.22
"2024-04-18 19:05:00",41,-7999,12.23
"2024-04-18 20:05:00",42,-7999,12.23
"2024-04-18 21:05:00",43,-7999,12.23
"2024-04-18 22:05:00",44,-7999,12.23
"2024-04-18 23:05:00",45,-7999,12.23
"2024-04-19 00:05:00",46,-7999,12.23
"2024-04-19 00:05:00",47,-7999,12.23
"2024-04-19 01:05:00",48,-7999,12.23
"2024-04-19 02:05:00",49,-7999,12.23
"2024-04-19 03:05:00",50,-7999,12.23
"2024-04-19 04:05:00",51,-7999,12.23
"2024-04-19 05:05:00",52,-7999,12.23
"2024-04-19 06:05:00",53,-7999,12.23
"2024-04-19 07:05:00",54,-7999,12.22
"2024-04-19 08:05:00",55,-7999,12.23
"2024-04-19 09:05:00",56,-7999,12.23
"2024-04-19 10:05:00",57,-7999,12.23
"2024-04-19 11:05:00",58,-7999,12.23
"2024-04-19 12:05:00",59,-7999,12.23
"2024-04-19 13:05:00",60,-7999,12.23
"2024-04-19 14:05:00",61,-7999,12.23
"2024-04-19 15:05:00",62,-7999,12.23
"2024-04-20 12:05:00",63,-7999,12.22
"2024-04-20 13:05:00",64,-7999,12.22
"2024-04-20 14:05:00",65,-7999,12.22
